Scan,Scan_20201202_185110.csv
Mode,ABS
Lower,400
Upper,650
Length,251
,,
wavelength(nm) , ABS , %T
552.0,0.039,91.41
553.0,0.039,91.41
554.0,0.039,91.41
555.0,0.039,91.41
556.0,0.039,91.41
557.0,0.038,91.62
558.0,0.038,91.62
559.0,0.038,91.62
560.0,0.038,91.62
561.0,0.038,91.62
562.0,0.038,91.62
563.0,0.038,91.62
564.0,0.038,91.62
565.0,0.038,91.62
566.0,0.038,91.62
567.0,0.037,91.83
568.0,0.037,91.83
569.0,0.037,91.83
570.0,0.037,91.83
571.0,0.037,91.83
572.0,0.037,91.83
573.0,0.037,91.83
574.0,0.037,91.83
575.0,0.037,91.83
576.0,0.037,91.83
577.0,0.037,91.83
578.0,0.036,92.04
579.0,0.037,91.83
580.0,0.036,92.04
581.0,0.037,91.83
582.0,0.036,92.04
583.0,0.036,92.04
584.0,0.036,92.04
585.0,0.036,92.04
586.0,0.036,92.04
587.0,0.036,92.04
588.0,0.036,92.04
589.0,0.036,92.04
590.0,0.036,92.04
591.0,0.035,92.26
592.0,0.035,92.26
593.0,0.035,92.26
594.0,0.035,92.26
595.0,0.035,92.26
596.0,0.035,92.26
597.0,0.035,92.26
598.0,0.035,92.26
599.0,0.035,92.26
600.0,0.035,92.26
601.0,0.035,92.26
602.0,0.034,92.47
603.0,0.035,92.26
604.0,0.034,92.47
605.0,0.034,92.47
606.0,0.034,92.47
607.0,0.034,92.47
608.0,0.034,92.47
609.0,0.034,92.47
610.0,0.034,92.47
611.0,0.034,92.47
612.0,0.034,92.47
613.0,0.034,92.47
614.0,0.034,92.47
615.0,0.034,92.47
616.0,0.034,92.47
617.0,0.033,92.68
618.0,0.033,92.68
619.0,0.033,92.68
620.0,0.034,92.47
621.0,0.034,92.47
622.0,0.033,92.68
623.0,0.033,92.68
624.0,0.033,92.68
625.0,0.033,92.68
626.0,0.033,92.68
627.0,0.033,92.68
628.0,0.033,92.68
629.0,0.033,92.68
630.0,0.033,92.68
631.0,0.033,92.68
632.0,0.033,92.68
633.0,0.032,92.90
634.0,0.033,92.68
635.0,0.033,92.68
636.0,0.033,92.68
637.0,0.033,92.68
638.0,0.033,92.68
639.0,0.033,92.68
640.0,0.032,92.90
641.0,0.032,92.90
642.0,0.032,92.90
643.0,0.032,92.90
644.0,0.032,92.90
645.0,0.032,92.90
646.0,0.032,92.90
647.0,0.032,92.90
648.0,0.032,92.90
649.0,0.031,93.11
650.0,0.032,92.90
