Scan,Scan_20201202_185110.csv
Mode,ABS
Lower,400
Upper,650
Length,251
,,
wavelength(nm) , ABS , %T
400.0,0.063,86.50
401.0,0.063,86.50
402.0,0.062,86.70
403.0,0.062,86.70
404.0,0.062,86.70
405.0,0.061,86.90
406.0,0.061,86.90
407.0,0.061,86.90
408.0,0.060,87.10
409.0,0.060,87.10
410.0,0.060,87.10
411.0,0.060,87.10
412.0,0.059,87.30
413.0,0.059,87.30
414.0,0.059,87.30
415.0,0.058,87.50
416.0,0.059,87.30
417.0,0.058,87.50
418.0,0.058,87.50
419.0,0.058,87.50
420.0,0.058,87.50
421.0,0.057,87.70
422.0,0.058,87.50
423.0,0.057,87.70
424.0,0.057,87.70
425.0,0.057,87.70
426.0,0.056,87.90
427.0,0.056,87.90
428.0,0.056,87.90
429.0,0.056,87.90
430.0,0.055,88.10
431.0,0.055,88.10
432.0,0.055,88.10
433.0,0.055,88.10
434.0,0.055,88.10
435.0,0.054,88.31
436.0,0.055,88.10
437.0,0.054,88.31
438.0,0.054,88.31
439.0,0.054,88.31
440.0,0.054,88.31
441.0,0.053,88.51
442.0,0.053,88.51
443.0,0.053,88.51
444.0,0.053,88.51
445.0,0.053,88.51
446.0,0.053,88.51
447.0,0.053,88.51
448.0,0.052,88.72
449.0,0.052,88.72
450.0,0.052,88.72
451.0,0.052,88.72
452.0,0.051,88.92
453.0,0.051,88.92
454.0,0.051,88.92
455.0,0.051,88.92
456.0,0.051,88.92
457.0,0.051,88.92
458.0,0.051,88.92
459.0,0.050,89.13
460.0,0.050,89.13
461.0,0.050,89.13
462.0,0.050,89.13
463.0,0.050,89.13
464.0,0.049,89.33
465.0,0.049,89.33
466.0,0.049,89.33
467.0,0.049,89.33
468.0,0.049,89.33
469.0,0.049,89.33
470.0,0.049,89.33
471.0,0.048,89.54
472.0,0.048,89.54
473.0,0.048,89.54
474.0,0.048,89.54
475.0,0.048,89.54
476.0,0.047,89.74
477.0,0.047,89.74
478.0,0.047,89.74
479.0,0.047,89.74
480.0,0.047,89.74
481.0,0.047,89.74
482.0,0.047,89.74
483.0,0.047,89.74
484.0,0.047,89.74
485.0,0.046,89.95
486.0,0.046,89.95
487.0,0.046,89.95
488.0,0.046,89.95
489.0,0.046,89.95
490.0,0.046,89.95
491.0,0.046,89.95
492.0,0.046,89.95
493.0,0.045,90.16
494.0,0.045,90.16
495.0,0.045,90.16
496.0,0.045,90.16
497.0,0.045,90.16
498.0,0.045,90.16
499.0,0.045,90.16
500.0,0.044,90.36
501.0,0.044,90.36
502.0,0.044,90.36
503.0,0.044,90.36
504.0,0.044,90.36
505.0,0.044,90.36
506.0,0.044,90.36
507.0,0.044,90.36
508.0,0.044,90.36
509.0,0.044,90.36
510.0,0.043,90.57
511.0,0.043,90.57
512.0,0.043,90.57
513.0,0.043,90.57
514.0,0.043,90.57
515.0,0.043,90.57
516.0,0.042,90.78
517.0,0.042,90.78
518.0,0.042,90.78
519.0,0.042,90.78
520.0,0.042,90.78
521.0,0.042,90.78
522.0,0.042,90.78
523.0,0.042,90.78
524.0,0.042,90.78
525.0,0.042,90.78
526.0,0.042,90.78
527.0,0.042,90.78
528.0,0.041,90.99
529.0,0.041,90.99
530.0,0.041,90.99
531.0,0.041,90.99
532.0,0.041,90.99
533.0,0.041,90.99
534.0,0.041,90.99
535.0,0.041,90.99
536.0,0.041,90.99
537.0,0.041,90.99
538.0,0.040,91.20
539.0,0.040,91.20
540.0,0.040,91.20
541.0,0.040,91.20
542.0,0.040,91.20
543.0,0.040,91.20
544.0,0.040,91.20
545.0,0.040,91.20
546.0,0.039,91.41
547.0,0.039,91.41
548.0,0.039,91.41
549.0,0.039,91.41
550.0,0.039,91.41
551.0,0.039,91.41
